"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "XML", "Django HTML", "Markdown", "Shell Script", "comment", "blank", "total"
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\hsb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\hy.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\id.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\is.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\it.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\nl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\pl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ps.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\pt-BR.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\pt.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ro.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ru.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\sk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\sl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\sq.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\sr-Cyrl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\sr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\sv.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\th.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\tk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\tr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\uk.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
